time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,Cyclone_Inlet_Gas_Temp_rolling_mean,Cyclone_Inlet_Gas_Temp_rolling_std,Cyclone_Inlet_Gas_Temp_diff,Cyclone_Material_Temp_rolling_mean,Cyclone_Material_Temp_rolling_std,Cyclone_Material_Temp_diff,Cyclone_Outlet_Gas_draft_rolling_mean,Cyclone_Outlet_Gas_draft_rolling_std,Cyclone_Outlet_Gas_draft_diff,Cyclone_cone_draft_rolling_mean,Cyclone_cone_draft_rolling_std,Cyclone_cone_draft_diff,Cyclone_Gas_Outlet_Temp_rolling_mean,Cyclone_Gas_Outlet_Temp_rolling_std,Cyclone_Gas_Outlet_Temp_diff,Cyclone_Inlet_Draft_rolling_mean,Cyclone_Inlet_Draft_rolling_std,Cyclone_Inlet_Draft_diff,iso_pred,svm_pred,elliptic_pred,lof_pred,anomaly_score,is_anomaly
2018-06-24 23:45:00,903.94,17.03,-288.77,-267.98,941.29,-213.57,896.95,5.824650204056683,3.2000000000000455,17.03,0.0,0.0,-280.648,7.21560253896067,-5.479999999999961,-263.404,8.613705938807302,5.339999999999975,933.2040000000001,8.19166832853511,4.75,-212.11599999999999,5.39636729664986,1.490000000000009,0,1,1,1,3,True
2018-06-24 23:50:00,906.67,17.03,-281.13,-260.85,942.16,-212.13,900.5260000000001,4.991495767753726,2.7299999999999045,17.03,0.0,0.0,-282.35800000000006,5.67403912572417,7.639999999999986,-265.488,5.321340996426907,7.1299999999999955,937.7460000000001,3.7517435953121723,0.8700000000000045,-213.14000000000001,4.614358026894189,1.4399999999999977,0,1,1,1,3,True
2018-06-24 23:55:00,901.52,17.03,-294.31,-272.15,927.41,-224.63,901.924,3.705540446339627,-5.149999999999977,17.03,0.0,0.0,-286.514,5.180104246077681,-13.180000000000007,-267.7900000000001,5.18772107965185,-11.299999999999955,936.368,5.953273889625214,-14.75,-216.83200000000002,5.011339142425049,-12.5,0,1,1,1,3,True
2018-06-25 00:00:00,893.77,17.03,-282.95,-264.22,915.45,-215.64,901.3280000000001,4.818336849938772,-7.75,17.03,0.0,0.0,-286.09000000000003,5.40952863013347,11.360000000000014,-267.704,5.255904299001615,7.92999999999995,932.57,11.219262453686191,-11.959999999999923,-216.206,4.903053130488682,8.990000000000009,0,1,0,1,2,True
2018-06-25 01:05:00,931.39,1011.47,-414.06,-404.83,979.89,-348.66,901.7639999999999,25.149474745995658,11.419999999999959,986.5099999999999,23.910267669018026,12.81000000000006,-320.16600000000005,54.05114180107672,-97.25999999999999,-299.96999999999997,61.27622581393556,-105.07,950.646,27.36817549647107,11.590000000000032,-247.648,57.97123398721754,-106.54000000000002,1,1,0,0,2,True
2018-06-25 01:10:00,908.33,901.61,-305.63,-275.13,894.44,-235.47,909.2779999999999,18.23148156347245,-23.059999999999945,976.6199999999997,44.01434595678586,-109.86000000000001,-323.2220000000001,52.34909139612732,108.43,-301.71000000000004,60.199791112597985,129.7,946.86,34.25643516195809,-85.44999999999993,-251.64000000000001,55.853442597576446,113.19000000000003,1,1,0,0,2,True
2018-06-25 12:00:00,940.25,1002.87,-319.37,-298.85,970.42,-242.62,938.35,12.208431512621532,-4.149999999999977,995.7139999999997,10.417496340509034,12.200000000000045,-279.88800000000003,28.52465284627078,-29.69999999999999,-261.95400000000006,25.65471165303236,-27.870000000000005,974.802,6.836897688785958,3.0699999999999363,-209.956,24.465635695814736,-24.02000000000001,1,1,0,0,2,True
2018-06-25 22:20:00,874.16,939.93,-294.65,-269.21,902.81,-224.0,857.608,12.586022803129959,6.219999999999914,931.7899999999997,25.050372252755707,-24.620000000000005,-308.79200000000003,32.3574152243372,71.60000000000002,-292.38800000000003,43.12188040891074,99.21000000000004,889.392,16.213558215345657,-6.510000000000105,-235.08800000000002,35.07551952574017,73.63,1,0,0,1,2,True
2018-06-26 12:20:00,889.5,911.91,-215.25,-212.93,922.43,-152.01,918.4440000000001,26.890431941472038,-7.3799999999999955,924.9759999999999,47.83381366775207,37.17999999999995,-268.2120000000001,40.768951053471135,19.189999999999998,-255.24,36.1806716355598,8.439999999999998,859.8400000000001,43.46273346213632,99.17999999999995,-202.996,37.71818434124639,23.120000000000005,1,0,0,1,2,True
2018-06-26 12:25:00,924.09,995.41,-218.18,-216.19,1008.38,-146.46,912.382,19.02423112767345,34.59000000000003,924.0979999999997,46.12688446016249,83.5,-254.07600000000002,43.94928361191323,-2.930000000000007,-243.13000000000002,37.30132705414303,-3.259999999999991,884.216,80.52711642671711,85.95000000000005,-188.244,43.307595523188404,5.549999999999983,1,0,0,1,2,True
